"drugname_brand","drugname_generic","claim_count","total_spending","user_count","total_spending_per_user","unit_count","unit_cost_wavg","user_count_non_lowincome","out_of_pocket_avg_non_lowincome","user_count_lowincome","out_of_pocket_avg_lowincome","year"
"1ST TIER UNIFINE PENTIPS","PEN NEEDLE, DIABETIC",2472,57666.73,893,64.576405375,293160,0.1967660328,422,42.347203791,471,7.5458598726,2011
"DYAZIDE","TRIAMTERENE/HYDROCHLOROTHIAZID",24653,1176003.24,7845,149.90481071,1102423,1.0667441082,5787,120.72891308,2058,11.064125364,2011
"EASY TOUCH PEN NEEDLE","PEN NEEDLE, DIABETIC",9514,289457.19,3823,75.714671724,1034235,0.2799080884,1009,32.194628345,2814,5.9610483298,2011
"ALENDRONATE SODIUM","ALENDRONATE SODIUM",9685594,154633135.69,1868915,82.739523034,61719800.123,2.6012843715,1199715,38.774500686,669200,6.9661016139,2011
"EC-NAPROSYN","NAPROXEN",795,75302.73,480,156.8806875,47538,1.5809956446,206,78.949708738,274,5.2802919708,2011
"EDLUAR","ZOLPIDEM TARTRATE",1185,194381.47,451,431.00104213,39207,4.9568474696,260,154.62096154,191,9.567591623,2011
"ENALAPRIL MALEATE","ENALAPRIL MALEATE",5222191,52043483.63,865289,60.14578208,306994152.56,0.1689359408,524026,28.229409266,341263,7.867568415,2011
"ENDOCET","OXYCODONE HCL/ACETAMINOPHEN",1371782,68290709.62,342574,199.34586285,135396789,0.4795437431,137932,44.060739712,204642,7.5598472454,2011
"EPIKLOR","POTASSIUM CHLORIDE",17446,524663.06,6567,79.893872392,959554,0.5463096857,3467,24.570095183,3100,4.0692580645,2011
"ETH-OXYDOSE","OXYCODONE HCL",16,831.45,13,63.957692308,920,0.90375,,,,,2011
"FAMOTIDINE","FAMOTIDINE",3513892,42807968.75,788044,54.321800242,198967122.2,0.2089003172,356841,24.738288089,431203,4.5409343859,2011
"ALLOPURINOL","ALLOPURINOL",6132082,45883713.28,1144203,40.10102515,326729095.66,0.14298282,756746,26.607506323,387457,7.2077517247,2011
"FEXMID","CYCLOBENZAPRINE HCL",656,162537.9,356,456.56713483,41817,3.8868857163,115,90.563652174,241,8.874813278,2011
"FINASTERIDE","FINASTERIDE",3392755,165214269.6,645474,255.95805501,165594406.62,0.997704409,493303,58.375047121,152171,7.9825042879,2011
"FLAGYL","METRONIDAZOLE",658,84927.7,572,148.475,21047,4.1908988139,256,60.033242188,316,3.8565822785,2011
"FLAGYL ER","METRONIDAZOLE",424,65706.47,364,180.51228022,5482,11.985857351,182,70.321263736,182,4.8155494505,2011
"FLEXERIL","CYCLOBENZAPRINE HCL",985,88540.59,670,132.15013433,49277,1.794043442,311,68.800482315,359,6.3335376045,2011
"FLOMAX","TAMSULOSIN HCL",71349,14343178.39,25999,551.68192584,3403200.7,4.2146143159,13910,189.64385622,12089,11.000668376,2011
"FLONASE","FLUTICASONE PROPIONATE",12281,1075523.27,5859,183.56771975,241464.2,4.4541727925,2645,94.64378828,3214,5.8067143746,2011
"FLOVENT DISKUS","FLUTICASONE PROPIONATE",57330,8153678.89,21132,385.84511121,4086447.6,1.9943921855,10968,117.76837436,10164,10.392752853,2011
"FLOVENT HFA","FLUTICASONE PROPIONATE",979731,188895751.86,295612,638.99893056,13491033.458,13.92258758,138254,150.54781214,157358,14.047779776,2011
"FLUCONAZOLE","FLUCONAZOLE",1917936,16749588.02,1078668,15.528029032,13961533.204,1.9491760979,523424,7.3691326726,555244,2.0307164778,2011
"ALPRAZOLAM","ALPRAZOLAM",1305191,11859288.97,263892,44.939933647,82804155.5,0.1422563915,208872,16.857936487,55020,11.801244638,2011
"FLUOXETINE DR","FLUOXETINE HCL",8015,1036448.58,1316,787.57490881,40920,25.328655425,495,262.68139394,821,11.17453106,2011
"FLUOXETINE HCL","FLUOXETINE HCL",5245132,76587870.42,891580,85.901288073,281863566.43,0.2907696723,463155,32.998022325,428425,8.0162888254,2011
"ALPRAZOLAM ER","ALPRAZOLAM",4949,271650.41,1117,243.19642793,263082,1.0440649709,918,44.488562092,199,32.345427136,2011
"FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",6241612,221532142.83,2472164,89.610617592,118994552.77,1.8819513437,1483126,20.937664851,989038,3.5344831038,2011
"ALPRAZOLAM INTENSOL","ALPRAZOLAM",20,1237.1,17,72.770588235,600,2.0618333333,,,,,2011
"ALPRAZOLAM ODT","ALPRAZOLAM",711,74631.57,253,294.98644269,45911,1.6088512534,215,29.10972093,38,21.854210526,2011
"ALPRAZOLAM XR","ALPRAZOLAM",4081,260041.4,929,279.9153929,213455,1.2486468042,765,48.77551634,164,37.438780488,2011
"ACCUNEB","ALBUTEROL SULFATE",120,7415.18,90,82.390888889,12921,0.5736623739,,,,,2011
"FORTAMET","METFORMIN HCL",13549,5509561.83,3863,1426.2391483,928693,6.0857039222,2116,274.78216446,1747,17.192009159,2011
"FOSAMAX","ALENDRONATE SODIUM",19426,2223171.38,8208,270.85421296,1889855.54,13.544745354,3475,166.39844317,4733,6.6820135221,2011
"FUROSEMIDE","FUROSEMIDE",23916140,133481981.28,4439274,30.068425891,1217191070.7,0.1096455805,2398400,18.795580675,2040874,5.9147315513,2011
"GABAPENTIN","GABAPENTIN",14142556,435641035.37,2713237,160.56136466,1481315097,0.2904909453,1348858,38.7933489,1364379,7.070391145,2011
"ALTOPREV","LOVASTATIN",6595,2732290.51,1640,1666.0307988,284431.5,9.6199108106,979,355.62514811,661,20.910574887,2011
"GELNIQUE","OXYBUTYNIN CHLORIDE",42688,7806194.32,15359,508.24886516,1558754.85,5.0079679431,10535,156.70421073,4824,12.721351575,2011
"GLIMEPIRIDE","GLIMEPIRIDE",4506300,53216760.63,777950,68.406402249,270598009.03,0.1942647505,473402,32.712041373,304548,8.0815948882,2011
"GLIPIZIDE","GLIPIZIDE",4587737,40921587.08,846204,48.35900927,384432810.3,0.1072734105,464059,27.076069293,382145,6.5353296,2011
"GLIPIZIDE ER","GLIPIZIDE",2073241,44635892.3,387851,115.08515461,123012651.5,0.3588165952,218597,44.181504412,169254,8.2372683068,2011
"GLIPIZIDE XL","GLIPIZIDE",1308423,30487204.37,254004,120.02647348,80970629.73,0.3725591434,146619,36.952283879,107385,8.1360392979,2011
"AMARYL","GLIMEPIRIDE",9984,865527.18,2522,343.19079302,642179,1.3462046231,1523,152.792239,999,15.772272272,2011
"GLUCOPHAGE","METFORMIN HCL",21868,2834359.71,4569,620.34574524,2228811,1.3301856355,2569,250.79209809,2000,20.384425,2011
"GLUCOPHAGE XR","METFORMIN HCL",11698,1394104.2,2460,566.70902439,1397712,1.0138147107,1574,240.32750318,886,24.098679458,2011
"GLUCOTROL","GLIPIZIDE",2421,202139.56,584,346.12938356,223073,0.8855426047,350,157.82537143,234,19.148247863,2011
"AMBIEN","ZOLPIDEM TARTRATE",40793,8160743.5,10506,776.76979821,1405003,5.8082882209,5347,207.32397232,5159,16.361137817,2011
"GLUCOTROL XL","GLIPIZIDE",15108,999434.75,3202,312.1282792,1015398.6,0.9819963155,1963,172.11643403,1239,18.948216303,2011
"GLUMETZA","METFORMIN HCL",21962,7075487.88,6064,1166.802091,1555042,4.738606137,3713,303.6138648,2351,20.649438537,2011
"GLYCOLAX","POLYETHYLENE GLYCOL 3350",96,21075.55,49,430.11326531,19504,1.0805757793,,,,,2011
"AMBIEN CR","ZOLPIDEM TARTRATE",72851,14586579.45,20332,717.41980376,2452986,5.9471779504,9432,211.1110528,10900,14.776187156,2011
"GRALISE","GABAPENTIN",314,43999.74,262,167.93793893,21643,2.0266874198,96,69.221041667,166,3.931746988,2011
"HYCET","HYDROCODONE/ACETAMINOPHEN",255,31413.65,161,195.11583851,106225,0.2957274653,57,75.848245614,104,2.6725961538,2011
"HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE",16894128,95251281.58,3401909,27.999361999,800855608.84,0.1192861964,2195253,19.295877623,1206656,6.7616041523,2011
"HYDROCODONE-ACETAMINOPHEN","HYDROCODONE/ACETAMINOPHEN",31364928,430171549.32,7091301,60.661865759,2354080055,0.1795651669,3822468,22.993435974,3268833,7.42753769,2011
"HYDROGESIC","HYDROCODONE/ACETAMINOPHEN",103,1091.02,57,19.140701754,5107,0.2136322694,12,8.3733333333,45,3.8704444444,2011
"HYZAAR","LOSARTAN/HYDROCHLOROTHIAZIDE",41665,5663213.39,13096,432.43840791,1776881.2,3.2116721231,6868,222.17338818,6228,12.88096018,2011
"IBUPROFEN","IBUPROFEN",4421628,28377361.41,1784796,15.899498548,321450681.87,0.0894293189,664924,9.1553717568,1119872,2.9481262412,2011
"IMDUR","ISOSORBIDE MONONITRATE",4955,680460.05,1192,570.85574664,260523.5,2.6154824326,672,253.31119048,520,11.519846154,2011
"INCONTROL PEN NEEDLE","PEN NEEDLE, DIABETIC",5202,120386.49,2368,50.838889358,630265,0.1910150148,692,30.555028902,1676,7.5799224344,2011
"INSULIN PEN NEEDLE","PEN NEEDLE, DIABETIC",153,3935.19,75,52.4692,17680,0.224086271,37,41.183513514,38,5.3878947368,2011
"INSUPEN","PEN NEEDLE, DIABETIC",6220,135645.23,2274,59.650496922,670017,0.2025149749,687,40.082547307,1587,6.6683553875,2011
"IQUIX","LEVOFLOXACIN",1870,151102.22,1252,120.68867412,9635,15.682638298,806,80.617754342,446,6.9504484305,2011
"ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE",230410,4834320.83,41898,115.38309299,15194496.723,0.3221841058,18736,38.681936379,23162,6.2501709697,2011
"ISOSORBIDE MONONITRATE ER","ISOSORBIDE MONONITRATE",5530488,89788470.86,930253,96.520485137,251028600.64,0.3562669548,508588,39.403301415,421665,7.83037646,2011
"JANTOVEN","WARFARIN SODIUM",942995,10381178.62,137658,75.412824681,33836614.132,0.3161090687,86739,33.806423869,50919,6.1983839038,2011
"AMLODIPINE BESYLATE","AMLODIPINE BESYLATE",27947959,383118840.99,4798488,79.841575302,1263562492.5,0.3040145954,2884071,39.71456667,1914417,8.0317713957,2011
"KAON-CL 10","POTASSIUM CHLORIDE",2186,24522.05,919,26.683405876,101118,0.2425092466,502,15.436374502,417,3.8052757794,2011
"KAPVAY","CLONIDINE HCL",248,36257.48,89,407.38741573,16416,2.208667154,22,114.33636364,67,5.228358209,2011
"KEFLEX","CEPHALEXIN",4298,383906.51,3542,108.38693111,84971,4.4471783246,2603,57.039880907,939,5.651341853,2011
"KENALOG","TRIAMCINOLONE ACETONIDE",10420,1717307.52,5799,296.13856182,718847.3,2.3906360439,4116,103.61422741,1683,9.1597563874,2011
"KENALOG-10","TRIAMCINOLONE ACETONIDE",382,8074.86,294,27.465510204,16655.4,0.4848193379,162,21.108765432,132,1.8903787879,2011
"KENALOG-40","TRIAMCINOLONE ACETONIDE",15207,417886.26,11546,36.193163,470163.905,0.8888097439,5993,17.795534791,5553,2.2909346299,2011
"KLONOPIN","CLONAZEPAM",1469,208312.53,362,575.4489779,124670,1.6816736229,330,199.25790909,32,162.449375,2011
"KLOR-CON","POTASSIUM CHLORIDE",69376,3134080.21,23140,135.43993993,3854183.011,0.8131274197,11733,30.422808318,11407,3.8007398966,2011
"KLOR-CON 10","POTASSIUM CHLORIDE",2195735,60795032.03,537881,113.02691865,144646960.44,0.4202994093,316222,33.633460227,221659,6.4935732815,2011
"KLOR-CON 8","POTASSIUM CHLORIDE",523200,15446983.47,116405,132.70034337,36261601.65,0.4259873466,60333,36.957353853,56072,5.9285267157,2011
"KLOR-CON M10","POTASSIUM CHLORIDE",1204702,31098943.72,317049,98.088761422,69913030.624,0.4448232818,176003,34.572231439,141046,4.8129332984,2011
"KLOR-CON M15","POTASSIUM CHLORIDE",5233,177880.24,1227,144.97167074,322383,0.5517668115,627,70.413652313,600,7.4702166667,2011
